Iteration 0, Epoch 1, Loss: 6.50, Accuracy: 17.19, Val Loss: 3.34, Val Accuracy: 7.90
Iteration 200, Epoch 1, Loss: 2.37, Accuracy: 19.69, Val Loss: 3.29, Val Accuracy: 11.50
Iteration 400, Epoch 2, Loss: 1.74, Accuracy: 32.68, Val Loss: 3.89, Val Accuracy: 15.50
Iteration 600, Epoch 2, Loss: 1.68, Accuracy: 36.27, Val Loss: 2.92, Val Accuracy: 26.30
Iteration 800, Epoch 3, Loss: 1.53, Accuracy: 42.97, Val Loss: 2.52, Val Accuracy: 28.40
Iteration 1000, Epoch 3, Loss: 1.49, Accuracy: 44.92, Val Loss: 1.83, Val Accuracy: 42.60
Iteration 1200, Epoch 4, Loss: 1.37, Accuracy: 50.05, Val Loss: 1.79, Val Accuracy: 43.40
Iteration 1400, Epoch 4, Loss: 1.33, Accuracy: 52.03, Val Loss: 1.71, Val Accuracy: 47.20
Iteration 1600, Epoch 5, Loss: 1.22, Accuracy: 57.11, Val Loss: 1.37, Val Accuracy: 54.20
Iteration 1800, Epoch 5, Loss: 1.18, Accuracy: 58.09, Val Loss: 1.30, Val Accuracy: 56.20
Iteration 2000, Epoch 6, Loss: 1.08, Accuracy: 62.39, Val Loss: 1.15, Val Accuracy: 63.40
Iteration 2200, Epoch 6, Loss: 1.05, Accuracy: 63.33, Val Loss: 1.09, Val Accuracy: 63.90
Iteration 2400, Epoch 7, Loss: 0.98, Accuracy: 66.16, Val Loss: 0.93, Val Accuracy: 69.90
Iteration 2600, Epoch 7, Loss: 0.96, Accuracy: 66.94, Val Loss: 0.88, Val Accuracy: 70.30
Iteration 2800, Epoch 8, Loss: 0.89, Accuracy: 69.51, Val Loss: 0.89, Val Accuracy: 70.70
Iteration 3000, Epoch 8, Loss: 0.88, Accuracy: 70.21, Val Loss: 0.83, Val Accuracy: 72.60
Iteration 3200, Epoch 9, Loss: 0.82, Accuracy: 72.20, Val Loss: 0.81, Val Accuracy: 74.20
Iteration 3400, Epoch 9, Loss: 0.81, Accuracy: 72.48, Val Loss: 0.75, Val Accuracy: 75.90
Iteration 3600, Epoch 10, Loss: 0.76, Accuracy: 74.38, Val Loss: 0.78, Val Accuracy: 74.50
Iteration 3800, Epoch 10, Loss: 0.75, Accuracy: 74.77, Val Loss: 0.71, Val Accuracy: 76.70
Iteration 4000, Epoch 11, Loss: 0.72, Accuracy: 75.88, Val Loss: 0.71, Val Accuracy: 78.60
Iteration 4200, Epoch 11, Loss: 0.71, Accuracy: 76.10, Val Loss: 0.63, Val Accuracy: 79.90
Iteration 4400, Epoch 12, Loss: 0.67, Accuracy: 77.39, Val Loss: 0.67, Val Accuracy: 77.90
Iteration 4600, Epoch 13, Loss: 0.56, Accuracy: 81.25, Val Loss: 0.62, Val Accuracy: 79.80
Iteration 4800, Epoch 13, Loss: 0.64, Accuracy: 78.40, Val Loss: 0.64, Val Accuracy: 80.50
Iteration 5000, Epoch 14, Loss: 0.55, Accuracy: 81.32, Val Loss: 0.69, Val Accuracy: 77.90
Iteration 5200, Epoch 14, Loss: 0.60, Accuracy: 79.64, Val Loss: 0.63, Val Accuracy: 78.40
Iteration 5400, Epoch 15, Loss: 0.56, Accuracy: 81.77, Val Loss: 0.66, Val Accuracy: 79.80
Iteration 5600, Epoch 15, Loss: 0.57, Accuracy: 81.03, Val Loss: 0.57, Val Accuracy: 81.10
Iteration 5800, Epoch 16, Loss: 0.55, Accuracy: 81.67, Val Loss: 0.52, Val Accuracy: 82.90
Iteration 6000, Epoch 16, Loss: 0.54, Accuracy: 81.65, Val Loss: 0.68, Val Accuracy: 80.10
Iteration 6200, Epoch 17, Loss: 0.51, Accuracy: 82.84, Val Loss: 0.57, Val Accuracy: 82.20
Iteration 6400, Epoch 17, Loss: 0.52, Accuracy: 82.30, Val Loss: 0.59, Val Accuracy: 82.60
Iteration 6600, Epoch 18, Loss: 0.50, Accuracy: 83.07, Val Loss: 0.55, Val Accuracy: 83.40
Iteration 6800, Epoch 18, Loss: 0.50, Accuracy: 83.22, Val Loss: 0.60, Val Accuracy: 83.40
Iteration 7000, Epoch 19, Loss: 0.47, Accuracy: 83.92, Val Loss: 0.55, Val Accuracy: 84.60
Iteration 7200, Epoch 19, Loss: 0.47, Accuracy: 83.99, Val Loss: 0.56, Val Accuracy: 83.20
Iteration 7400, Epoch 20, Loss: 0.46, Accuracy: 84.32, Val Loss: 0.53, Val Accuracy: 83.70
Iteration 7600, Epoch 20, Loss: 0.46, Accuracy: 84.41, Val Loss: 0.63, Val Accuracy: 81.80
Iteration 7800, Epoch 21, Loss: 0.45, Accuracy: 84.76, Val Loss: 0.52, Val Accuracy: 83.30
Iteration 8000, Epoch 21, Loss: 0.44, Accuracy: 84.89, Val Loss: 0.52, Val Accuracy: 84.70
Iteration 8200, Epoch 22, Loss: 0.42, Accuracy: 85.65, Val Loss: 0.49, Val Accuracy: 84.90
Iteration 8400, Epoch 22, Loss: 0.42, Accuracy: 85.66, Val Loss: 0.56, Val Accuracy: 83.90
Iteration 8600, Epoch 23, Loss: 0.41, Accuracy: 86.51, Val Loss: 0.54, Val Accuracy: 84.60
Iteration 8800, Epoch 23, Loss: 0.41, Accuracy: 86.49, Val Loss: 0.51, Val Accuracy: 84.60
Iteration 9000, Epoch 24, Loss: 0.39, Accuracy: 86.60, Val Loss: 0.53, Val Accuracy: 84.60
Iteration 9200, Epoch 25, Loss: 0.36, Accuracy: 87.93, Val Loss: 0.61, Val Accuracy: 83.90
Iteration 9400, Epoch 25, Loss: 0.38, Accuracy: 87.12, Val Loss: 0.55, Val Accuracy: 85.50
Iteration 9600, Epoch 26, Loss: 0.33, Accuracy: 89.15, Val Loss: 0.57, Val Accuracy: 84.40
Iteration 9800, Epoch 26, Loss: 0.37, Accuracy: 87.55, Val Loss: 0.55, Val Accuracy: 84.90
Iteration 10000, Epoch 27, Loss: 0.34, Accuracy: 88.50, Val Loss: 0.53, Val Accuracy: 85.10
Iteration 10200, Epoch 27, Loss: 0.35, Accuracy: 87.90, Val Loss: 0.54, Val Accuracy: 84.40
Iteration 10400, Epoch 28, Loss: 0.34, Accuracy: 88.72, Val Loss: 0.50, Val Accuracy: 84.00
Iteration 10600, Epoch 28, Loss: 0.35, Accuracy: 88.53, Val Loss: 0.58, Val Accuracy: 83.80
Iteration 10800, Epoch 29, Loss: 0.32, Accuracy: 89.29, Val Loss: 0.52, Val Accuracy: 85.10
Iteration 11000, Epoch 29, Loss: 0.34, Accuracy: 88.64, Val Loss: 0.53, Val Accuracy: 85.20
