Iteration 0, Epoch 1, Loss: 6.21, Accuracy: 5.47, Val Loss: 3.22, Val Accuracy: 10.30
Iteration 200, Epoch 1, Loss: 2.61, Accuracy: 28.81, Val Loss: 2.69, Val Accuracy: 20.00
Iteration 400, Epoch 2, Loss: 1.61, Accuracy: 44.40, Val Loss: 2.19, Val Accuracy: 33.00
Iteration 600, Epoch 2, Loss: 1.58, Accuracy: 46.56, Val Loss: 1.69, Val Accuracy: 44.20
Iteration 800, Epoch 3, Loss: 1.68, Accuracy: 48.21, Val Loss: 2.41, Val Accuracy: 46.20
Iteration 1000, Epoch 3, Loss: 1.63, Accuracy: 49.07, Val Loss: 1.50, Val Accuracy: 50.30
Iteration 1200, Epoch 4, Loss: 1.39, Accuracy: 54.48, Val Loss: 1.53, Val Accuracy: 53.40
Iteration 1400, Epoch 4, Loss: 1.41, Accuracy: 54.85, Val Loss: 1.31, Val Accuracy: 54.70
Iteration 1600, Epoch 5, Loss: 1.29, Accuracy: 58.74, Val Loss: 1.35, Val Accuracy: 61.00
Iteration 1800, Epoch 5, Loss: 1.25, Accuracy: 59.70, Val Loss: 1.16, Val Accuracy: 61.50
Iteration 2000, Epoch 6, Loss: 1.12, Accuracy: 63.71, Val Loss: 1.19, Val Accuracy: 61.20
Iteration 2200, Epoch 6, Loss: 1.11, Accuracy: 63.99, Val Loss: 1.09, Val Accuracy: 63.60
Iteration 2400, Epoch 7, Loss: 1.09, Accuracy: 64.76, Val Loss: 1.34, Val Accuracy: 66.90
Iteration 2600, Epoch 7, Loss: 1.10, Accuracy: 65.23, Val Loss: 1.09, Val Accuracy: 65.70
Iteration 2800, Epoch 8, Loss: 1.06, Accuracy: 67.40, Val Loss: 1.02, Val Accuracy: 68.10
Iteration 3000, Epoch 8, Loss: 1.03, Accuracy: 67.74, Val Loss: 1.22, Val Accuracy: 67.30
Iteration 3200, Epoch 9, Loss: 0.98, Accuracy: 69.45, Val Loss: 0.87, Val Accuracy: 72.00
Iteration 3400, Epoch 9, Loss: 0.99, Accuracy: 69.42, Val Loss: 0.91, Val Accuracy: 73.10
Iteration 3600, Epoch 10, Loss: 0.93, Accuracy: 70.96, Val Loss: 0.95, Val Accuracy: 68.70
Iteration 3800, Epoch 10, Loss: 0.96, Accuracy: 70.01, Val Loss: 1.43, Val Accuracy: 68.50
Iteration 4000, Epoch 11, Loss: 0.94, Accuracy: 70.41, Val Loss: 0.96, Val Accuracy: 70.30
Iteration 4200, Epoch 11, Loss: 1.05, Accuracy: 68.10, Val Loss: 0.82, Val Accuracy: 72.10
Iteration 4400, Epoch 12, Loss: 0.99, Accuracy: 69.79, Val Loss: 0.98, Val Accuracy: 70.60
Iteration 4600, Epoch 13, Loss: 0.88, Accuracy: 72.81, Val Loss: 0.85, Val Accuracy: 72.70
Iteration 4800, Epoch 13, Loss: 0.94, Accuracy: 71.57, Val Loss: 1.21, Val Accuracy: 58.20
Iteration 5000, Epoch 14, Loss: 0.85, Accuracy: 73.65, Val Loss: 0.79, Val Accuracy: 74.50
Iteration 5200, Epoch 14, Loss: 0.89, Accuracy: 72.28, Val Loss: 1.33, Val Accuracy: 67.70
Iteration 5400, Epoch 15, Loss: 0.83, Accuracy: 73.98, Val Loss: 0.92, Val Accuracy: 73.20
Iteration 5600, Epoch 15, Loss: 0.79, Accuracy: 74.28, Val Loss: 1.08, Val Accuracy: 73.90
Iteration 5800, Epoch 16, Loss: 0.74, Accuracy: 76.17, Val Loss: 1.07, Val Accuracy: 74.50
Iteration 6000, Epoch 16, Loss: 0.75, Accuracy: 75.34, Val Loss: 0.72, Val Accuracy: 75.70
Iteration 6200, Epoch 17, Loss: 0.72, Accuracy: 76.23, Val Loss: 0.71, Val Accuracy: 77.70
Iteration 6400, Epoch 17, Loss: 0.72, Accuracy: 76.10, Val Loss: 0.66, Val Accuracy: 78.80
Iteration 6600, Epoch 18, Loss: 0.69, Accuracy: 77.17, Val Loss: 0.75, Val Accuracy: 77.90
Iteration 6800, Epoch 18, Loss: 0.71, Accuracy: 76.75, Val Loss: 0.60, Val Accuracy: 80.00
Iteration 7000, Epoch 19, Loss: 0.67, Accuracy: 77.62, Val Loss: 0.71, Val Accuracy: 79.10
Iteration 7200, Epoch 19, Loss: 0.68, Accuracy: 77.60, Val Loss: 0.70, Val Accuracy: 78.70
Iteration 7400, Epoch 20, Loss: 0.65, Accuracy: 77.86, Val Loss: 0.71, Val Accuracy: 79.40
Iteration 7600, Epoch 20, Loss: 0.66, Accuracy: 77.97, Val Loss: 0.65, Val Accuracy: 80.60
Iteration 7800, Epoch 21, Loss: 0.63, Accuracy: 79.21, Val Loss: 0.59, Val Accuracy: 81.20
Iteration 8000, Epoch 21, Loss: 0.64, Accuracy: 78.84, Val Loss: 0.60, Val Accuracy: 80.70
Iteration 8200, Epoch 22, Loss: 0.61, Accuracy: 79.30, Val Loss: 0.62, Val Accuracy: 80.10
Iteration 8400, Epoch 22, Loss: 0.63, Accuracy: 79.13, Val Loss: 0.86, Val Accuracy: 76.30
Iteration 8600, Epoch 23, Loss: 0.65, Accuracy: 78.73, Val Loss: 0.57, Val Accuracy: 82.30
Iteration 8800, Epoch 23, Loss: 0.63, Accuracy: 79.05, Val Loss: 0.68, Val Accuracy: 81.20
Iteration 9000, Epoch 24, Loss: 0.58, Accuracy: 80.26, Val Loss: 0.63, Val Accuracy: 82.50
Iteration 9200, Epoch 25, Loss: 0.71, Accuracy: 77.95, Val Loss: 0.78, Val Accuracy: 73.20
Iteration 9400, Epoch 25, Loss: 0.80, Accuracy: 74.77, Val Loss: 0.61, Val Accuracy: 78.80
Iteration 9600, Epoch 26, Loss: 0.61, Accuracy: 79.72, Val Loss: 0.64, Val Accuracy: 78.10
Iteration 9800, Epoch 26, Loss: 0.61, Accuracy: 79.64, Val Loss: 0.57, Val Accuracy: 80.50
Iteration 10000, Epoch 27, Loss: 0.59, Accuracy: 80.87, Val Loss: 0.58, Val Accuracy: 80.30
Iteration 10200, Epoch 27, Loss: 0.59, Accuracy: 80.43, Val Loss: 0.56, Val Accuracy: 82.80
Iteration 10400, Epoch 28, Loss: 0.55, Accuracy: 82.14, Val Loss: 0.53, Val Accuracy: 83.00
Iteration 10600, Epoch 28, Loss: 0.56, Accuracy: 81.60, Val Loss: 0.59, Val Accuracy: 80.00
Iteration 10800, Epoch 29, Loss: 0.54, Accuracy: 81.88, Val Loss: 0.57, Val Accuracy: 80.60
Iteration 11000, Epoch 29, Loss: 0.54, Accuracy: 81.77, Val Loss: 0.54, Val Accuracy: 81.70
