Iteration 0, Epoch 1, Loss: 5.89, Accuracy: 10.94, Val Loss: 3.11, Val Accuracy: 11.40
Iteration 200, Epoch 1, Loss: 2.78, Accuracy: 30.62, Val Loss: 1.97, Val Accuracy: 35.50
Iteration 400, Epoch 2, Loss: 1.64, Accuracy: 48.09, Val Loss: 1.75, Val Accuracy: 44.80
Iteration 600, Epoch 2, Loss: 1.57, Accuracy: 49.70, Val Loss: 1.57, Val Accuracy: 51.80
Iteration 800, Epoch 3, Loss: 1.35, Accuracy: 55.00, Val Loss: 1.92, Val Accuracy: 53.60
Iteration 1000, Epoch 3, Loss: 1.35, Accuracy: 55.80, Val Loss: 1.40, Val Accuracy: 57.40
Iteration 1200, Epoch 4, Loss: 1.24, Accuracy: 59.50, Val Loss: 1.44, Val Accuracy: 59.20
Iteration 1400, Epoch 4, Loss: 1.23, Accuracy: 60.08, Val Loss: 1.36, Val Accuracy: 58.90
Iteration 1600, Epoch 5, Loss: 1.16, Accuracy: 62.26, Val Loss: 1.22, Val Accuracy: 60.70
Iteration 1800, Epoch 5, Loss: 1.17, Accuracy: 62.65, Val Loss: 1.10, Val Accuracy: 67.30
Iteration 2000, Epoch 6, Loss: 1.20, Accuracy: 63.10, Val Loss: 1.32, Val Accuracy: 65.80
Iteration 2200, Epoch 6, Loss: 1.11, Accuracy: 64.91, Val Loss: 1.03, Val Accuracy: 66.90
Iteration 2400, Epoch 7, Loss: 1.03, Accuracy: 67.10, Val Loss: 1.11, Val Accuracy: 69.20
Iteration 2600, Epoch 7, Loss: 1.08, Accuracy: 66.71, Val Loss: 1.15, Val Accuracy: 69.00
Iteration 2800, Epoch 8, Loss: 1.02, Accuracy: 67.48, Val Loss: 0.99, Val Accuracy: 69.30
Iteration 3000, Epoch 8, Loss: 1.04, Accuracy: 67.56, Val Loss: 0.84, Val Accuracy: 70.80
Iteration 3200, Epoch 9, Loss: 0.96, Accuracy: 69.50, Val Loss: 0.92, Val Accuracy: 69.60
Iteration 3400, Epoch 9, Loss: 0.96, Accuracy: 69.87, Val Loss: 0.86, Val Accuracy: 72.20
Iteration 3600, Epoch 10, Loss: 0.94, Accuracy: 70.32, Val Loss: 0.84, Val Accuracy: 72.20
Iteration 3800, Epoch 10, Loss: 0.93, Accuracy: 70.41, Val Loss: 0.87, Val Accuracy: 72.60
Iteration 4000, Epoch 11, Loss: 0.88, Accuracy: 71.97, Val Loss: 0.78, Val Accuracy: 73.70
Iteration 4200, Epoch 11, Loss: 0.84, Accuracy: 72.17, Val Loss: 0.71, Val Accuracy: 75.50
Iteration 4400, Epoch 12, Loss: 0.75, Accuracy: 73.50, Val Loss: 0.72, Val Accuracy: 75.70
Iteration 4600, Epoch 13, Loss: 0.68, Accuracy: 76.41, Val Loss: 0.70, Val Accuracy: 76.70
Iteration 4800, Epoch 13, Loss: 0.71, Accuracy: 75.24, Val Loss: 0.69, Val Accuracy: 75.30
Iteration 5000, Epoch 14, Loss: 0.65, Accuracy: 77.31, Val Loss: 0.68, Val Accuracy: 77.70
Iteration 5200, Epoch 14, Loss: 0.68, Accuracy: 75.95, Val Loss: 0.65, Val Accuracy: 78.70
Iteration 5400, Epoch 15, Loss: 0.65, Accuracy: 77.38, Val Loss: 0.66, Val Accuracy: 77.60
Iteration 5600, Epoch 15, Loss: 0.66, Accuracy: 76.75, Val Loss: 0.63, Val Accuracy: 79.20
Iteration 5800, Epoch 16, Loss: 0.65, Accuracy: 76.83, Val Loss: 0.67, Val Accuracy: 78.50
Iteration 6000, Epoch 16, Loss: 0.65, Accuracy: 77.15, Val Loss: 0.66, Val Accuracy: 77.30
Iteration 6200, Epoch 17, Loss: 0.63, Accuracy: 78.06, Val Loss: 0.64, Val Accuracy: 77.30
Iteration 6400, Epoch 17, Loss: 0.64, Accuracy: 77.50, Val Loss: 0.63, Val Accuracy: 79.10
Iteration 6600, Epoch 18, Loss: 0.62, Accuracy: 78.18, Val Loss: 0.64, Val Accuracy: 79.10
Iteration 6800, Epoch 18, Loss: 0.62, Accuracy: 78.08, Val Loss: 0.62, Val Accuracy: 78.10
Iteration 7000, Epoch 19, Loss: 0.61, Accuracy: 78.25, Val Loss: 0.62, Val Accuracy: 78.40
Iteration 7200, Epoch 19, Loss: 0.61, Accuracy: 78.66, Val Loss: 0.59, Val Accuracy: 79.90
Iteration 7400, Epoch 20, Loss: 0.60, Accuracy: 78.87, Val Loss: 0.62, Val Accuracy: 80.50
Iteration 7600, Epoch 20, Loss: 0.59, Accuracy: 79.25, Val Loss: 0.62, Val Accuracy: 77.80
Iteration 7800, Epoch 21, Loss: 0.59, Accuracy: 79.32, Val Loss: 0.60, Val Accuracy: 79.80
Iteration 8000, Epoch 21, Loss: 0.59, Accuracy: 79.23, Val Loss: 0.59, Val Accuracy: 80.30
Iteration 8200, Epoch 22, Loss: 0.58, Accuracy: 79.61, Val Loss: 0.61, Val Accuracy: 79.30
Iteration 8400, Epoch 22, Loss: 0.58, Accuracy: 79.62, Val Loss: 0.57, Val Accuracy: 80.80
Iteration 8600, Epoch 23, Loss: 0.57, Accuracy: 80.03, Val Loss: 0.57, Val Accuracy: 81.50
Iteration 8800, Epoch 23, Loss: 0.56, Accuracy: 80.21, Val Loss: 0.56, Val Accuracy: 81.40
Iteration 9000, Epoch 24, Loss: 0.55, Accuracy: 80.32, Val Loss: 0.60, Val Accuracy: 79.70
Iteration 9200, Epoch 25, Loss: 0.55, Accuracy: 80.47, Val Loss: 0.59, Val Accuracy: 80.80
Iteration 9400, Epoch 25, Loss: 0.55, Accuracy: 80.89, Val Loss: 0.59, Val Accuracy: 81.20
Iteration 9600, Epoch 26, Loss: 0.51, Accuracy: 81.91, Val Loss: 0.60, Val Accuracy: 80.20
Iteration 9800, Epoch 26, Loss: 0.54, Accuracy: 80.71, Val Loss: 0.55, Val Accuracy: 81.80
Iteration 10000, Epoch 27, Loss: 0.54, Accuracy: 80.70, Val Loss: 0.60, Val Accuracy: 78.70
Iteration 10200, Epoch 27, Loss: 0.53, Accuracy: 81.24, Val Loss: 0.56, Val Accuracy: 80.50
Iteration 10400, Epoch 28, Loss: 0.53, Accuracy: 81.45, Val Loss: 0.54, Val Accuracy: 83.50
Iteration 10600, Epoch 28, Loss: 0.53, Accuracy: 81.50, Val Loss: 0.56, Val Accuracy: 80.50
Iteration 10800, Epoch 29, Loss: 0.51, Accuracy: 82.03, Val Loss: 0.56, Val Accuracy: 81.50
Iteration 11000, Epoch 29, Loss: 0.52, Accuracy: 81.94, Val Loss: 0.54, Val Accuracy: 81.20
