Iteration 0, Epoch 1, Loss: 7.05, Accuracy: 9.38, Val Loss: 7.03, Val Accuracy: 14.00
Iteration 200, Epoch 1, Loss: 2.21, Accuracy: 27.01, Val Loss: 2.61, Val Accuracy: 28.40
Iteration 400, Epoch 2, Loss: 1.56, Accuracy: 41.97, Val Loss: 1.88, Val Accuracy: 42.70
Iteration 600, Epoch 2, Loss: 1.53, Accuracy: 44.23, Val Loss: 1.43, Val Accuracy: 51.60
Iteration 800, Epoch 3, Loss: 1.40, Accuracy: 49.93, Val Loss: 1.32, Val Accuracy: 54.20
Iteration 1000, Epoch 3, Loss: 1.34, Accuracy: 51.32, Val Loss: 1.25, Val Accuracy: 58.10
Iteration 1200, Epoch 4, Loss: 1.23, Accuracy: 56.46, Val Loss: 1.16, Val Accuracy: 60.10
Iteration 1400, Epoch 4, Loss: 1.21, Accuracy: 57.09, Val Loss: 1.12, Val Accuracy: 62.30
Iteration 1600, Epoch 5, Loss: 1.11, Accuracy: 60.20, Val Loss: 1.07, Val Accuracy: 64.20
Iteration 1800, Epoch 5, Loss: 1.09, Accuracy: 61.27, Val Loss: 0.94, Val Accuracy: 68.00
Iteration 2000, Epoch 6, Loss: 1.02, Accuracy: 64.44, Val Loss: 0.91, Val Accuracy: 69.40
Iteration 2200, Epoch 6, Loss: 1.00, Accuracy: 64.81, Val Loss: 0.88, Val Accuracy: 71.00
Iteration 2400, Epoch 7, Loss: 0.94, Accuracy: 66.96, Val Loss: 0.80, Val Accuracy: 73.80
Iteration 2600, Epoch 7, Loss: 0.93, Accuracy: 67.43, Val Loss: 0.87, Val Accuracy: 71.70
Iteration 2800, Epoch 8, Loss: 0.89, Accuracy: 69.09, Val Loss: 0.79, Val Accuracy: 72.70
Iteration 3000, Epoch 8, Loss: 0.87, Accuracy: 69.61, Val Loss: 0.79, Val Accuracy: 75.00
Iteration 3200, Epoch 9, Loss: 0.84, Accuracy: 70.47, Val Loss: 0.74, Val Accuracy: 73.80
Iteration 3400, Epoch 9, Loss: 0.83, Accuracy: 71.17, Val Loss: 0.78, Val Accuracy: 73.70
Iteration 3600, Epoch 10, Loss: 0.81, Accuracy: 71.83, Val Loss: 0.79, Val Accuracy: 76.00
Iteration 3800, Epoch 10, Loss: 0.79, Accuracy: 72.56, Val Loss: 0.75, Val Accuracy: 75.70
Iteration 4000, Epoch 11, Loss: 0.77, Accuracy: 73.18, Val Loss: 0.70, Val Accuracy: 77.60
Iteration 4200, Epoch 11, Loss: 0.76, Accuracy: 73.38, Val Loss: 0.67, Val Accuracy: 78.90
Iteration 4400, Epoch 12, Loss: 0.73, Accuracy: 74.60, Val Loss: 0.68, Val Accuracy: 77.90
Iteration 4600, Epoch 13, Loss: 0.69, Accuracy: 75.78, Val Loss: 0.66, Val Accuracy: 79.70
Iteration 4800, Epoch 13, Loss: 0.71, Accuracy: 75.26, Val Loss: 0.63, Val Accuracy: 80.20
Iteration 5000, Epoch 14, Loss: 0.67, Accuracy: 76.07, Val Loss: 0.66, Val Accuracy: 80.50
Iteration 5200, Epoch 14, Loss: 0.68, Accuracy: 76.20, Val Loss: 0.62, Val Accuracy: 80.70
Iteration 5400, Epoch 15, Loss: 0.64, Accuracy: 78.02, Val Loss: 0.65, Val Accuracy: 80.00
Iteration 5600, Epoch 15, Loss: 0.66, Accuracy: 77.04, Val Loss: 0.64, Val Accuracy: 80.00
Iteration 5800, Epoch 16, Loss: 0.64, Accuracy: 77.47, Val Loss: 0.62, Val Accuracy: 80.50
Iteration 6000, Epoch 16, Loss: 0.64, Accuracy: 78.00, Val Loss: 0.66, Val Accuracy: 78.90
Iteration 6200, Epoch 17, Loss: 0.61, Accuracy: 78.50, Val Loss: 0.60, Val Accuracy: 79.80
Iteration 6400, Epoch 17, Loss: 0.61, Accuracy: 78.59, Val Loss: 0.60, Val Accuracy: 81.90
Iteration 6600, Epoch 18, Loss: 0.60, Accuracy: 78.82, Val Loss: 0.61, Val Accuracy: 80.20
Iteration 6800, Epoch 18, Loss: 0.60, Accuracy: 79.32, Val Loss: 0.61, Val Accuracy: 81.70
Iteration 7000, Epoch 19, Loss: 0.58, Accuracy: 79.75, Val Loss: 0.58, Val Accuracy: 82.40
Iteration 7200, Epoch 19, Loss: 0.58, Accuracy: 79.57, Val Loss: 0.63, Val Accuracy: 80.90
Iteration 7400, Epoch 20, Loss: 0.58, Accuracy: 79.91, Val Loss: 0.57, Val Accuracy: 82.70
Iteration 7600, Epoch 20, Loss: 0.57, Accuracy: 80.46, Val Loss: 0.57, Val Accuracy: 82.30
Iteration 7800, Epoch 21, Loss: 0.55, Accuracy: 81.19, Val Loss: 0.55, Val Accuracy: 83.10
Iteration 8000, Epoch 21, Loss: 0.54, Accuracy: 81.21, Val Loss: 0.58, Val Accuracy: 83.00
Iteration 8200, Epoch 22, Loss: 0.53, Accuracy: 81.61, Val Loss: 0.58, Val Accuracy: 83.30
Iteration 8400, Epoch 22, Loss: 0.53, Accuracy: 81.54, Val Loss: 0.56, Val Accuracy: 84.20
Iteration 8600, Epoch 23, Loss: 0.53, Accuracy: 81.50, Val Loss: 0.57, Val Accuracy: 83.50
Iteration 8800, Epoch 23, Loss: 0.53, Accuracy: 81.67, Val Loss: 0.58, Val Accuracy: 82.70
Iteration 9000, Epoch 24, Loss: 0.51, Accuracy: 82.25, Val Loss: 0.57, Val Accuracy: 84.10
Iteration 9200, Epoch 25, Loss: 0.48, Accuracy: 82.55, Val Loss: 0.58, Val Accuracy: 83.60
Iteration 9400, Epoch 25, Loss: 0.49, Accuracy: 82.78, Val Loss: 0.55, Val Accuracy: 84.80
Iteration 9600, Epoch 26, Loss: 0.47, Accuracy: 82.96, Val Loss: 0.56, Val Accuracy: 83.60
Iteration 9800, Epoch 26, Loss: 0.48, Accuracy: 83.27, Val Loss: 0.54, Val Accuracy: 84.00
Iteration 10000, Epoch 27, Loss: 0.48, Accuracy: 83.28, Val Loss: 0.57, Val Accuracy: 83.50
Iteration 10200, Epoch 27, Loss: 0.47, Accuracy: 83.57, Val Loss: 0.56, Val Accuracy: 85.10
Iteration 10400, Epoch 28, Loss: 0.46, Accuracy: 83.98, Val Loss: 0.54, Val Accuracy: 83.50
Iteration 10600, Epoch 28, Loss: 0.46, Accuracy: 83.84, Val Loss: 0.55, Val Accuracy: 84.40
Iteration 10800, Epoch 29, Loss: 0.44, Accuracy: 84.67, Val Loss: 0.54, Val Accuracy: 84.40
Iteration 11000, Epoch 29, Loss: 0.45, Accuracy: 84.74, Val Loss: 0.59, Val Accuracy: 84.70
