Iteration 0, Epoch 1, Loss: 7.53, Accuracy: 8.59, Val Loss: 3.78, Val Accuracy: 9.10
Iteration 200, Epoch 1, Loss: 3.11, Accuracy: 20.21, Val Loss: 2.86, Val Accuracy: 16.60
Iteration 400, Epoch 2, Loss: 1.74, Accuracy: 38.93, Val Loss: 2.96, Val Accuracy: 26.50
Iteration 600, Epoch 2, Loss: 1.72, Accuracy: 40.01, Val Loss: 2.19, Val Accuracy: 31.30
Iteration 800, Epoch 3, Loss: 1.57, Accuracy: 45.58, Val Loss: 2.31, Val Accuracy: 34.70
Iteration 1000, Epoch 3, Loss: 1.50, Accuracy: 47.90, Val Loss: 2.04, Val Accuracy: 38.50
Iteration 1200, Epoch 4, Loss: 1.41, Accuracy: 50.60, Val Loss: 1.61, Val Accuracy: 45.10
Iteration 1400, Epoch 4, Loss: 1.38, Accuracy: 52.46, Val Loss: 2.91, Val Accuracy: 39.20
Iteration 1600, Epoch 5, Loss: 1.24, Accuracy: 56.79, Val Loss: 1.59, Val Accuracy: 50.00
Iteration 1800, Epoch 5, Loss: 1.22, Accuracy: 58.07, Val Loss: 1.58, Val Accuracy: 52.50
Iteration 2000, Epoch 6, Loss: 1.56, Accuracy: 50.20, Val Loss: 2.14, Val Accuracy: 52.50
Iteration 2200, Epoch 6, Loss: 1.45, Accuracy: 53.24, Val Loss: 1.35, Val Accuracy: 57.00
Iteration 2400, Epoch 7, Loss: 1.25, Accuracy: 59.26, Val Loss: 1.42, Val Accuracy: 54.30
Iteration 2600, Epoch 7, Loss: 1.20, Accuracy: 60.47, Val Loss: 1.38, Val Accuracy: 59.50
Iteration 2800, Epoch 8, Loss: 1.33, Accuracy: 57.18, Val Loss: 1.86, Val Accuracy: 53.10
Iteration 3000, Epoch 8, Loss: 1.38, Accuracy: 55.92, Val Loss: 2.88, Val Accuracy: 46.50
Iteration 3200, Epoch 9, Loss: 1.26, Accuracy: 58.73, Val Loss: 1.39, Val Accuracy: 58.40
